timestamp, Grid, 0, Kitchen - Fridge 2, 0, Dining - Heating, 0, Kitchen - Freezer 2, 0, Kitchen - Fridge 1, 0, Kitchen - Heating, 0, Kitchen - Freezer 1, 0, Restrooms - Heating, 0, Office - Heating, 0
2023-01-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 01:00:00,1078,0,29,0,29,0,416,0,29,0,29,0,451,0,29,0,29,0
2023-01-01 02:00:00,2192,0,59,0,59,0,859,0,59,0,59,0,913,0,59,0,59,0
2023-01-01 03:00:00,3148,0,90,0,90,0,1248,0,90,0,90,0,1269,0,90,0,90,0
2023-01-01 04:00:00,4350,0,120,0,120,0,1774,0,120,0,120,0,1735,0,120,0,120,0
2023-01-01 05:00:00,5441,0,150,0,150,0,2241,0,150,0,150,0,2149,0,150,0,150,0
2023-01-01 06:00:00,6530,0,180,0,180,0,2678,0,180,0,180,0,2591,0,180,0,180,0
2023-01-01 07:00:00,7871,0,209,0,209,0,3330,0,209,0,209,0,3070,0,209,0,209,0
2023-01-01 08:00:00,8945,0,239,0,239,0,3825,0,239,0,239,0,3440,0,239,0,239,0
2023-01-01 09:00:00,12420,0,596,0,716,0,4274,0,358,0,727,0,3808,0,630,0,513,0
2023-01-01 10:00:00,16073,0,949,0,1159,0,4769,0,482,0,1137,0,4175,0,1155,0,1031,0
2023-01-01 11:00:00,18714,0,1130,0,1414,0,5112,0,581,0,1442,0,4646,0,1490,0,1475,0
2023-01-01 12:00:00,19648,0,1160,0,1444,0,5506,0,611,0,1472,0,4976,0,1520,0,1505,0
2023-01-01 13:00:00,20610,0,1190,0,1474,0,5912,0,641,0,1502,0,5322,0,1550,0,1535,0
2023-01-01 14:00:00,21931,0,1260,0,1554,0,6271,0,673,0,1546,0,5885,0,1594,0,1574,0
2023-01-01 15:00:00,25533,0,1636,0,1951,0,6639,0,800,0,2203,0,6261,0,1968,0,1940,0
2023-01-01 16:00:00,29230,0,1896,0,2489,0,7160,0,889,0,2695,0,6576,0,2459,0,2434,0
2023-01-01 17:00:00,30194,0,1926,0,2519,0,7544,0,919,0,2725,0,6946,0,2489,0,2464,0
